IP1 Crude Birth Rate.SW,IP2 Mortality Rate.SW,IP3 Carrying Capacity.SW,IP4 Effect of Population Size on Births.SW,IP1 Crude Birth Rate.ES,IP2 Mortality Rate.ES,IP3 Carrying Capacity.ES,IP4 Effect of Population Size on Births.ES
0,0,0,0,0,0,0,0
1,0,0,0,0.25,0.25,0.25,0.25
0,1,0,0,0,0,0,0
1,1,0,0,0.125,0.125,0.125,0.125
0,0,1,0,0,0,0,0
1,0,1,0,0.125,0.125,0.125,0.125
0,1,1,0,0,0,0,0
1,1,1,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
0,0,0,1,0,0,0,0
1,0,0,1,0.125,0.125,0.125,0.125
0,1,0,1,0,0,0,0
1,1,0,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
0,0,1,1,0,0,0,0
1,0,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
0,1,1,1,0,0,0,0
1,1,1,1,0.0625,0.0625,0.0625,0.0625
